in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: but read it out loud so we can hear .
out,FALSE,FALSE,@Comment: Time is 0:11
out,FALSE,FALSE,@Comment: this book reading takes 33 minutes; need I say more?
out,FALSE,FALSE,CHI: for +...
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,CHI: xxx !
out,FALSE,FALSE,CHI: my .
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,MOT: xxx .
out,FALSE,FALSE,CHI: my [?] .
out,FALSE,FALSE,MOT: &~sis .
out,FALSE,FALSE,CHI: &~sis [?] .
out,FALSE,FALSE,MOT: (..) sister .
out,FALSE,FALSE,CHI: sister +...
out,FALSE,FALSE,MOT: (..) Christa [>] .
out,FALSE,FALSE,BRO: xxx [<] .
out,FALSE,FALSE,CHI: Christa .
out,FALSE,FALSE,CHI: (.) in (.) the .
out,FALSE,FALSE,BRO: xxx .
out,FALSE,FALSE,MOT: what is the first xxx ?
out,FALSE,FALSE,CHI: lit [?] .
out,FALSE,FALSE,MOT: light .
out,FALSE,FALSE,CHI: light (.) of (.) the (.) moon [/] moon .
out,FALSE,FALSE,CHI: a light ?
out,FALSE,FALSE,MOT: hm: .
out,FALSE,FALSE,MOT: little .
out,FALSE,FALSE,CHI: little .
out,FALSE,FALSE,MOT: (..) go ahead .
out,FALSE,FALSE,MOT: you know what it is ?
out,FALSE,FALSE,MOT: egg .
out,FALSE,FALSE,CHI: egg .
out,FALSE,FALSE,MOT: lay .
out,FALSE,FALSE,CHI: lay on a (.) leaf .
out,FALSE,FALSE,CHI: leaf .
out,FALSE,FALSE,CHI: one .
out,FALSE,FALSE,CHI: (.) &~s .
out,FALSE,FALSE,MOT: xxx ?
out,FALSE,FALSE,CHI: &~Sun .
out,FALSE,FALSE,BRO: &=noises .
out,FALSE,FALSE,CHI: day .
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,BRO: &=noise .
out,FALSE,FALSE,CHI: xxx .
in,TRUE,FALSE,MOT: xxx this one over there .
out,FALSE,FALSE,MOT: come on .
in,FALSE,TRUE,MOT: just sound it out .
out,FALSE,FALSE,MOT: +^ xxx .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,MOT: morning .
out,FALSE,FALSE,CHI: morning [>] the xxx +...
out,FALSE,FALSE,BRO: pencil [<] !
out,FALSE,FALSE,MOT: warm [>] .
out,FALSE,FALSE,CHI: <the pencil> [<] .
in,TRUE,FALSE,CHI: warm sun (.) <came up> [>] and +...
out,FALSE,FALSE,BRO: <my best pencil xxx> [<] !
out,FALSE,FALSE,CHI: pop .
out,FALSE,FALSE,CHI: xxx what .
out,FALSE,FALSE,MOT: out .
out,FALSE,FALSE,CHI: out_of the egg .
out,FALSE,FALSE,MOT: (..) what's that ?
out,FALSE,FALSE,MOT: we just xxx [>] .
out,FALSE,FALSE,CHI: came [<] .
out,FALSE,FALSE,MOT: uhhuh .
out,FALSE,FALSE,CHI: a .
out,FALSE,FALSE,CHI: tin .
out,FALSE,FALSE,MOT: tiny .
out,FALSE,FALSE,CHI: tiny and .
out,FALSE,FALSE,BRO: hm: !
out,FALSE,FALSE,CHI: furry [?] .
out,FALSE,FALSE,BRO: two pencils [>] .
out,FALSE,FALSE,MOT: what [<] .
out,FALSE,FALSE,CHI: furry [?] .
out,FALSE,FALSE,MOT: very .
out,FALSE,FALSE,CHI: very .
out,FALSE,FALSE,MOT: hungry .
out,FALSE,FALSE,CHI: hungry .
out,FALSE,FALSE,MOT: (..) what's that ?
in,FALSE,FALSE,CHI: I don't know .
in,FALSE,FALSE,CHI: can you help me ?
out,FALSE,FALSE,CHI: little [?] .
in,FALSE,TRUE,MOT: c@l comes in front .
out,FALSE,FALSE,CHI: c@l .
out,FALSE,FALSE,MOT: &~ca caterpillar .
out,FALSE,FALSE,CHI: caterpillar .
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,CHI: (.) he (.) sed@u .
out,FALSE,FALSE,MOT: what ?
