in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: www .
out,FALSE,FALSE,CHI: www .
out,FALSE,FALSE,BRO: www .
out,FALSE,FALSE,MOT: www .
out,FALSE,FALSE,INV: www .
out,FALSE,FALSE,CHI: hey !
out,FALSE,FALSE,CHI: &~th this guy's kind [?] magnet .
out,FALSE,FALSE,CHI: look .
out,FALSE,FALSE,BRO: Chi can I try ?
out,FALSE,FALSE,MOT: think so .
out,FALSE,FALSE,MOT: what's the magnets in ?
out,FALSE,FALSE,CHI: what [>] ?
in,TRUE,FALSE,MOT: well [<] this must have a magnet on it right ?
in,FALSE,FALSE,MOT: (be)cause all this stuff stickin(g) [>] it to it .
out,FALSE,FALSE,CHI: yeah [<] .
in,FALSE,FALSE,CHI: it is a magnet .
out,FALSE,FALSE,MOT: see if the penny sticks .
out,FALSE,FALSE,CHI: 0 [=! heavy sigh] .
out,FALSE,FALSE,CHI: nothing else does .
out,FALSE,FALSE,CHI: hey Bro .
out,FALSE,FALSE,CHI: where's the xxx ?
out,FALSE,FALSE,CHI: where's the pennies ?
out,FALSE,FALSE,MOT: these things [= referent unclear] I can't even pry them [= referent unclear] off .
out,FALSE,FALSE,MOT: (.) see if this [= plastic turtle] will stick to the magnet [= black base] .
out,FALSE,FALSE,MOT: is this [= yellow wand] a magnet in here ?
out,FALSE,FALSE,CHI: yeah .
out,FALSE,FALSE,CHI: it's [= yellow wand] a magnet .
out,FALSE,FALSE,CHI: see ?
out,FALSE,FALSE,MOT: what happens ?
out,FALSE,FALSE,MOT: oh yeah .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,MOT: what happens if you put the yellow [= yellow wand] on top of the mirror [= flat silver circle] ?
out,FALSE,FALSE,MOT: wait .
out,FALSE,FALSE,CHI: alright now .
out,FALSE,FALSE,CHI: +^ move .
out,FALSE,FALSE,BRO: whoa [>] !
out,FALSE,FALSE,MOT: get that [= plastic turtle] [<] out_of the way .
out,FALSE,FALSE,BRO: whoa !
out,FALSE,FALSE,CHI: it pushes !
out,FALSE,FALSE,CHI: mom feel it [= repulsion of yellow wand and black base] .
out,FALSE,FALSE,CHI: oh .
out,FALSE,FALSE,CHI: no wonder .
out,FALSE,FALSE,INV: &=laughs .
in,FALSE,TRUE,CHI: oh it [= yellow wand and black base] pushes so cool .
out,FALSE,FALSE,CHI: look !
out,FALSE,FALSE,MOT: oh yeah .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,CHI: Bro [/] Bro just go like this .
out,FALSE,FALSE,CHI: oh not [/] not [/] not like that .
out,FALSE,FALSE,CHI: just go like this lightly .
out,FALSE,FALSE,BRO: here try this one [= blue ball] [>] .
out,FALSE,FALSE,MOT: turn [<] it [= yellow wand] over .
out,FALSE,FALSE,CHI: 0 .
out,FALSE,FALSE,MOT: no .
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,MOT: turn that [= the yellow wand] [!] over .
out,FALSE,FALSE,CHI: <hold it> [= wait] .
out,FALSE,FALSE,CHI: oh .
out,FALSE,FALSE,CHI: +^ <hold it> [= wait] .
out,FALSE,FALSE,CHI: I didn't think I did .
out,FALSE,FALSE,CHI: &=vocalization .
out,FALSE,FALSE,CHI: Bro &~g &~g &~g go like this .
out,FALSE,FALSE,CHI: it [= the yellow wand and the black base] pushes .
out,FALSE,FALSE,CHI: do it [= hold yellow wand over black base to feel repulsion] .
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,MOT: turn it this way .
out,FALSE,FALSE,CHI: no .
in,TRUE,FALSE,MOT: see [/] see if you can stick [!] it [= yellow wand] on there [= the silver circle on top of the black base] .
in,FALSE,FALSE,MOT: try to press it [= yellow wand] down on there [= the silver circle on top of the black base] .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,BRO: &=laughs .
in,FALSE,FALSE,MOT: see if you can do it [= make yellow wand stick to the silver circle on the black base] .
in,FALSE,FALSE,MOT: see if you can force it [= the yellow wand] down [= onto silver circle on black base] .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: let me see .
out,FALSE,FALSE,BRO: hey !
in,FALSE,FALSE,BRO: how (a)bout that [= silver stick] ?
in,FALSE,FALSE,CHI: no not that [= silver stick] .
in,FALSE,FALSE,CHI: worked .
out,FALSE,FALSE,MOT: huh .
out,FALSE,FALSE,CHI: so cool .
out,FALSE,FALSE,CHI: so [>] +...
out,FALSE,FALSE,BRO: can [<] I +...
out,FALSE,FALSE,CHI: so +...
in,FALSE,FALSE,CHI: so then if you do it [= referent unclear] this way +//.
in,FALSE,FALSE,CHI: Bro stop .
in,FALSE,FALSE,"CHI: +, if you do it [= referent unclear] this way <it push> [//] it [= referent unclear] pushes it [= referent unclear] up ."
out,FALSE,FALSE,CHI: (.) hey .
out,FALSE,FALSE,CHI: what if +...
out,FALSE,FALSE,BRO: Chi look !
out,FALSE,FALSE,BRO: Chi !
out,FALSE,FALSE,CHI: if [/] if you do it [= hold yellow wand over black base] +...
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,CHI: if you do it <this way> [>] +...
out,FALSE,FALSE,BRO: <xxx Chi> [<] .
