in/out/ambiguous,start_human,start_llm,end_human,end_llm,Transcript,story_seg_human,story_seg_llm,intersection,union
out,FALSE,FALSE,FALSE,FALSE,INV1: now [!] what we'd like you to do +...,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,@Comment: Time is 0:12,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,@Comment: Chi an okay reader; Mot corrects when Chi stumbles and once says to sound out; Bro a distraction,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,"INV1: +, is if Chi can (.) read the book .",FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: oh okay .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,INV1: xxx .,FALSE,FALSE,FALSE,FALSE
out,FALSE,FALSE,FALSE,FALSE,MOT: okay [?] .,FALSE,FALSE,FALSE,FALSE
in,TRUE,TRUE,FALSE,FALSE,CHI: in the light (.) of the moon (.) a little (.) egg lay on (.) a leaf .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,TRUE,FALSE,CHI: <on Saturday morning> [>] the warm sun came up and (.) pop [!] out_of the egg (.) came a tiny and very hungry caterpillar .,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: xxx [<] .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: tiny little (.) caterpillar .,FALSE,TRUE,FALSE,TRUE
in,TRUE,FALSE,FALSE,FALSE,CHI: he started to look for some food .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,TRUE,CHI: on Monday (.) he ate (.) an apple .,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: 0 .,TRUE,FALSE,FALSE,TRUE
in,FALSE,TRUE,FALSE,FALSE,CHI: I know [?] an apple (.) and a plum and (.) a pear .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,TRUE,MOT: <he ate through> [>] +...,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: <and he> [<] (.) through a apple .,TRUE,FALSE,FALSE,TRUE
in,FALSE,TRUE,FALSE,FALSE,CHI: but he was still hungry .,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: 0 .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,CHI: on (.) Tuesday he ate through (.) two pears (.) but he was still hungry .,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: 0 .,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: and then [!] .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,CHI: and [?] Wednesday he ate through (.) three plums (.) but he was still hungry .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,CHI: on Thursday he ate through (.) four strawberries (.) but he was still hungry .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,FALSE,CHI: on Friday he (.) ate through (.) five oranges (.) but he was still hungry .,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,BRO: 0 .,TRUE,TRUE,TRUE,TRUE
in,FALSE,FALSE,FALSE,TRUE,CHI: on Saturday he ate through (.) one peach [= piece] of (.) chocolate cake .,TRUE,TRUE,TRUE,TRUE
in,FALSE,TRUE,TRUE,FALSE,CHI: &-uh one (.) icecream &-uh cone and pickle (.) <and slice [>]> [//] and one slice of +...,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: one [<] .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,BRO: yeah .,FALSE,TRUE,FALSE,TRUE
in,TRUE,FALSE,FALSE,TRUE,BRO: he's gonna <turn into> [>] a [>] +...,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: ++ Swiss [<] .,TRUE,FALSE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: Swiss [<] (.) cheese .,TRUE,FALSE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: one slice of (.) salami .,TRUE,FALSE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: and (.) a lollipop and +...,TRUE,FALSE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: ++ one@q .,TRUE,FALSE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: one (.) piece [>] of cherry pie and xxx .,TRUE,FALSE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: piece [<] .,TRUE,FALSE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: one [>] .,TRUE,FALSE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,MOT: one [<] sausage .,TRUE,FALSE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: sausage [>] .,TRUE,FALSE,FALSE,TRUE
in,FALSE,TRUE,TRUE,FALSE,BRO: <you know what's> [<] (.) my favorite in here ?,TRUE,TRUE,TRUE,TRUE
out,FALSE,FALSE,FALSE,FALSE,CHI: one (.) cupcake <and one> [>] slice of watermelon .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,BRO: xxx [<] .,FALSE,TRUE,FALSE,TRUE
out,FALSE,FALSE,FALSE,FALSE,BRO: xxx .,FALSE,TRUE,FALSE,TRUE
