in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,JOA: Marie ?
out,FALSE,FALSE,CHI: yeah ?
in,TRUE,FALSE,JOA: that's part of a tree .
in,FALSE,FALSE,CHI: no it isn't .
in,FALSE,TRUE,CHI: it's a bed .
in,TRUE,FALSE,CHI: we haven't got a bed for the children so it's a bed .
in,FALSE,FALSE,JOA: they can sleep on the couch .
out,FALSE,FALSE,CHI: &-uh huh .
out,FALSE,FALSE,JOA: here .
in,FALSE,TRUE,JOA: I'll show you something .
in,TRUE,FALSE,CHI: nope they're beds .
out,FALSE,FALSE,JOA: okay .
in,FALSE,TRUE,CHI: that's a tree .
in,TRUE,FALSE,CHI: this is a bed .
out,FALSE,FALSE,JOA: alright .
in,FALSE,FALSE,CHI: oh it willn't fit in there .
in,FALSE,FALSE,CHI: how bout they sleep in the living room ?
out,FALSE,FALSE,JOA: on the couch .
out,FALSE,FALSE,CHI: okay .
in,FALSE,TRUE,JOA: cause see this is a tree .
in,TRUE,FALSE,CHI: that one will hafta go inside somewhere .
out,FALSE,FALSE,JOA: no .
in,FALSE,TRUE,JOA: it's outside (o)kay ?
out,FALSE,FALSE,CHI: no .
in,TRUE,FALSE,CHI: I want it inside !
out,FALSE,FALSE,JOA: xxx it will hafta be .
out,FALSE,FALSE,CHI: okay .
in,FALSE,FALSE,CHI: it can be outside .
out,FALSE,FALSE,JOA: yeah .
in,FALSE,TRUE,JOA: now let's get the tree .
out,FALSE,FALSE,JOA: that's down .
out,FALSE,FALSE,JOA: there .
out,FALSE,FALSE,CHI: &=laughs .
in,TRUE,FALSE,JOA: the tree's cut down .
in,FALSE,TRUE,CHI: I've got a way to set it up Joanna .
out,FALSE,FALSE,JOA: xxx .
in,TRUE,FALSE,JOA: where did the doll go ?
in,FALSE,FALSE,CHI: I don't see it anywhere .
in,FALSE,FALSE,JOA: here it is .
out,FALSE,FALSE,JOA: okay .
in,FALSE,FALSE,JOA: let's get playing now .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,CHI: one sec .
in,FALSE,TRUE,CHI: I'm gonna put this in (.) the mother's room .
in,TRUE,FALSE,JOA: okay let's pretend that it's bedtime now (o)kay ?
out,FALSE,FALSE,CHI: okay .
in,FALSE,FALSE,JOA: mother and father (.) hafta get to bed now .
in,FALSE,FALSE,JOA: get the father in .
in,FALSE,FALSE,JOA: these two little ones hafta sleep together .
out,FALSE,FALSE,CHI: how do we get these [= character and bed] ?
out,FALSE,FALSE,JOA: xxx .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,JOA: take the bed out and get more [?] .
out,FALSE,FALSE,CHI: okay .
in,FALSE,FALSE,CHI: they can lay that way .
out,FALSE,FALSE,CHI: no .
out,FALSE,FALSE,CHI: &-um (.) there .
out,FALSE,FALSE,CHI: &=laughs .
in,FALSE,FALSE,JOA: why don't ya just get the kids in there first ?
in,FALSE,TRUE,CHI: xxx how do I get this out ?
in,TRUE,FALSE,JOA: Marie (.) how bout we take this out and get +...
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,JOA: xxx the dresser drawer .
in,FALSE,FALSE,JOA: (o)kay now (.) take the bed out .
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,JOA: you get it .
out,FALSE,FALSE,JOA: the dresser drawer xxx .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,CHI: xxx need another one .
in,FALSE,FALSE,JOA: what did this [= drawer from dresser] come out (.) of ?
out,FALSE,FALSE,CHI: probably that other thing .
out,FALSE,FALSE,JOA: this thing .
in,FALSE,FALSE,JOA: where is the other two ?
in,FALSE,FALSE,CHI: I don't know we lost em .
in,FALSE,FALSE,JOA: no we didn't .
out,FALSE,FALSE,JOA: here .
in,FALSE,FALSE,JOA: xxx there's (.) two drawers (.) here .
out,FALSE,FALSE,JOA: okay now (.) put this one in here .
out,FALSE,FALSE,JOA: xxx .
in,FALSE,FALSE,JOA: I'll get (.) the drawers in the right way .
out,FALSE,FALSE,CHI: yup .
out,FALSE,FALSE,JOA: &=laughs .
in,FALSE,FALSE,CHI: there ya got the drawers in .
in,FALSE,TRUE,CHI: now I'm gonna put the children .
in,TRUE,FALSE,CHI: this one to bed .
out,FALSE,FALSE,JOA: okay .
in,FALSE,TRUE,JOA: Marie (.) &-uh (.) I'm gonna get the mother and father out_of bed now .
out,FALSE,FALSE,CHI: okay .
in,TRUE,FALSE,JOA: put the bed in first then I'll get the xxx in .
in,FALSE,TRUE,JOA: the drawers fell out again .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,JOA: &=laughs .
out,FALSE,FALSE,CHI: &=laughs .
out,FALSE,FALSE,JOA: are they backwards ?
out,FALSE,FALSE,CHI: O .
in,TRUE,FALSE,JOA: I'll put them in again .
in,FALSE,FALSE,JOA: I'll put the dresser in right here .
in,FALSE,TRUE,CHI: that's as far as it can go Joanna .
out,FALSE,FALSE,JOA: I know that .
in,TRUE,FALSE,JOA: and get that one right there .
in,FALSE,TRUE,JOA: there now &-um (.) put the fence up .
out,FALSE,FALSE,JOA: what is that [= toy cement mixer] ?
out,FALSE,FALSE,CHI: I don't know xxx .
out,FALSE,FALSE,JOA: xxx .
out,FALSE,FALSE,JOA: now (.) okay .
in,TRUE,FALSE,JOA: I'll get the ladder up .
in,FALSE,TRUE,JOA: now do you wanna pretend it's morning now Marie ?
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,JOA: &=laughs .
out,FALSE,FALSE,CHI: &=laughs .
in,TRUE,FALSE,JOA: I knew that was going to happen .
in,FALSE,FALSE,JOA: the tree fell .
out,FALSE,FALSE,JOA: xxx <there this> [>] damn tree .
out,FALSE,FALSE,CHI: <come on Joanna> [<] .
out,FALSE,FALSE,"JOA: +"" hey sis ."
in,FALSE,TRUE,JOA: &-um the mom and dad aren't up yet .
in,TRUE,FALSE,JOA: Marie don't do that (o)kay ?
in,FALSE,TRUE,"JOA: +"" hey sister do you wanna make breakfast for mommy and daddy ?"
in,TRUE,FALSE,"CHI: +"" yeah you make breakfast for daddy ."
in,FALSE,TRUE,"CHI: +"" I'll make breakfast for mommy ."
in,TRUE,FALSE,"JOA: no I make breakfast for mommy and you make breakfast +""/."
out,FALSE,FALSE,"JOA: +"" <for daddy> [>] ."
out,FALSE,FALSE,"CHI: +"" <no me> [<] (.) mom ."
out,FALSE,FALSE,"JOA: +"" okay ."
in,FALSE,FALSE,"CHI: +"" here you go mom ."
in,FALSE,FALSE,"CHI: +"" well I'm just getting up ."
in,FALSE,TRUE,"CHI: +"" <here you go> [/] here you go daddy ."
out,FALSE,FALSE,JOA: xxx .
out,FALSE,FALSE,CHI: xxx ?
in,TRUE,FALSE,JOA: cause I act out a boy and you act out a girl .
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,JOA: and a boy .
out,FALSE,FALSE,"JOA: +"" oh thank_you sweetie xxx ."
in,FALSE,FALSE,"JOA: +"" dya [: do you] wanna go for a walk ?"
out,FALSE,FALSE,"CHI: +"" yeah !"
out,FALSE,FALSE,"JOA: +"" okay ."
out,FALSE,FALSE,"JOA: +"" (o)kay let's go ."
in,FALSE,TRUE,"CHI: +"" okay I'm holding onto father's hand he's going to lift me up (.) and carry me ."
in,TRUE,FALSE,"JOA: +"" mommy's going to carry me ."
in,FALSE,TRUE,"JOA: +"" and anyways we hafta wait til our porridge cools off ."
out,FALSE,FALSE,"CHI: +"" yup ."
in,TRUE,FALSE,"JOA: +"" hey [/] hey where's our porridge ?"
out,FALSE,FALSE,"CHI: +"" yeh especially mine ."
in,FALSE,FALSE,"CHI: +"" I want my porridge back [/] back mommy ."
out,FALSE,FALSE,"JOA: +"" me too mommy ."
in,FALSE,FALSE,"CHI: +"" I haven't touched it ."
out,FALSE,FALSE,"JOA: +"" me neither ."
in,FALSE,TRUE,"CHI: +"" maybe there's somebody in the house ."
in,TRUE,FALSE,"CHI: +"" let's go and check in my bedroom ."
in,FALSE,FALSE,"CHI: +"" there is !"
out,FALSE,FALSE,"CHI: +"" get out get out !"
in,FALSE,TRUE,"JOA: +"" no there isn't you're just joking ."
in,TRUE,FALSE,"CHI: +"" I (.) know I am ."
in,FALSE,TRUE,"JOA: +"" let's just eat our porridge ."
in,TRUE,FALSE,"JOA: +"" mommy will make us more ."
out,FALSE,FALSE,"JOA: +"" (o)kay there's our porridge ."
out,FALSE,FALSE,"CHI: +"" yum yum yum ."
out,FALSE,FALSE,"CHI: +"" yum yum yum ."
out,FALSE,FALSE,"JOA: +"" yum yum yum ."
in,FALSE,FALSE,"JOA: +"" okay let's let mommy and daddy eat now ."
out,FALSE,FALSE,"CHI: +"" yeah ."
out,FALSE,FALSE,"CHI: +"" they could eat ."
in,FALSE,FALSE,"CHI: +"" I'll put daddy in my chair ."
in,FALSE,TRUE,"JOA: +"" mommy gets to sit in my chair ."
out,FALSE,FALSE,"CHI: +"" xxx daddy (.) daddy big bear ."
out,FALSE,FALSE,JOA: &=laughs .
out,FALSE,FALSE,CHI: &=laughs .
in,TRUE,FALSE,"JOA: +"" can you move the table over honey ?"
out,FALSE,FALSE,"CHI: +"" what table ?"
