in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,MOT: let's see you read to me xxx .
out,FALSE,FALSE,MOT: no put it this way so I can see the picture .
out,FALSE,FALSE,MOT: okay .
in,TRUE,FALSE,CHI: <in the> [/] in the light of (.) the moon (.) a little (.) egg (.) laid [= lay] on (.) a leaf .
in,FALSE,FALSE,CHI: one [!] +...
in,FALSE,TRUE,CHI: (..) sunny [//] (.) Sunday .
out,FALSE,FALSE,MOT: &=laughs .
out,FALSE,FALSE,CHI: what does that say ?
in,TRUE,FALSE,MOT: not (.) afternoon not night +...
out,FALSE,FALSE,CHI: ++ <morning@q> [>] .
out,FALSE,FALSE,MOT: right [<] .
out,FALSE,FALSE,CHI: the +...
in,FALSE,TRUE,MOT: not hot not cold .
in,TRUE,FALSE,CHI: winter +/.
out,FALSE,FALSE,MOT: +^ no .
out,FALSE,FALSE,CHI: what ?
in,FALSE,FALSE,MOT: if it's not hot and not cold [>] +...
in,FALSE,FALSE,CHI: ++ <warm@q> [<] .
out,FALSE,FALSE,MOT: right .
in,FALSE,TRUE,CHI: sun (.) came up and up [= pop] out [>] .
out,FALSE,FALSE,MOT: no [<] .
out,FALSE,FALSE,CHI: where [>] ?
out,FALSE,FALSE,SIS: Mama [<] .
out,FALSE,FALSE,CHI: up [= pop] (.) and +/.
out,FALSE,FALSE,MOT: no .
out,FALSE,FALSE,MOT: okay okay up xxx okay .
out,FALSE,FALSE,CHI: and +...
out,FALSE,FALSE,SIS: what xxx Mama .
out,FALSE,FALSE,CHI: pop .
out,FALSE,FALSE,MOT: yup .
in,TRUE,FALSE,CHI: out_of the egg (.) came the .
out,FALSE,FALSE,MOT: a .
in,FALSE,FALSE,CHI: came a (..) funny [?] .
in,FALSE,TRUE,CHI: (.) tiny@q .
out,FALSE,FALSE,MOT: okay [?] .
in,TRUE,FALSE,CHI: and very (.) hungry caterpillar .
in,FALSE,FALSE,CHI: caterpillar .
out,FALSE,FALSE,CHI: he (.) started to look for some food .
out,FALSE,FALSE,CHI: on +...
out,FALSE,FALSE,MOT: day Mandy come ?
in,FALSE,TRUE,CHI: Monday (.) he went +/.
out,FALSE,FALSE,MOT: no .
out,FALSE,FALSE,MOT: www .
in,TRUE,FALSE,CHI: he ate through (.) one [!] apple .
in,FALSE,FALSE,CHI: but (.) still [//] he was still hungry .
in,FALSE,TRUE,CHI: (.) on Tuesday he ate through (.) two (.) pears but (.) he was still hungry .
in,TRUE,FALSE,CHI: on Wednesday he ate through three plums (.) but he was still hungry .
out,FALSE,FALSE,CHI: uhoh .
out,FALSE,FALSE,MOT: &=laughs .
in,FALSE,TRUE,CHI: on &~s Saturday [>] +/.
out,FALSE,FALSE,MOT: no [<] no (.) no .
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,MOT: xxx .
in,TRUE,FALSE,CHI: &~thur [//] on Thursday he ate through four (.) strawberries (.) but &~s he was still hungry .
out,FALSE,FALSE,CHI: uhoh .
in,FALSE,TRUE,CHI: on Friday he ate through (.) five oranges (.) but (.) he was still hungry .
in,TRUE,FALSE,CHI: on (..) Saturday [>] (.) he ate through (.) one (..) piece of +...
out,FALSE,FALSE,MOT: <what is today> [<] ?
out,FALSE,FALSE,CHI: what does this say ?
out,FALSE,FALSE,CHI: (.) cake@q ?
out,FALSE,FALSE,MOT: no .
in,FALSE,FALSE,MOT: something cake@q .
out,FALSE,FALSE,MOT: color [?] .
out,FALSE,FALSE,MOT: not vanilla .
in,FALSE,FALSE,CHI: chocolate [>] cake .
out,FALSE,FALSE,MOT: right [<] .
in,FALSE,TRUE,CHI: (.) one icecream (.) one +...
out,FALSE,FALSE,MOT: 0 .
in,TRUE,FALSE,CHI: icecream cone .
out,FALSE,FALSE,CHI: &~o &~on oh one +...
out,FALSE,FALSE,MOT: what you [//] (.) you like to eat .
in,FALSE,TRUE,MOT: that Nanna had at Thanksgiving (.) green .
out,FALSE,FALSE,CHI: oh yeah &-um +...
out,FALSE,FALSE,MOT: (..) (pi)ckle +...
in,TRUE,FALSE,CHI: pickle .
in,FALSE,TRUE,CHI: one [/] (.) one (.) cheese of +...
out,FALSE,FALSE,MOT: no .
