in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,RAND: ʔuh: You know it's: it was really pretty straightforward this morning.
out,FALSE,FALSE,LANC: .
out,FALSE,FALSE,RAND: And y- z
out,FALSE,FALSE,RAND: I thought you did a good job all the way through.
out,FALSE,FALSE,RAND: I mean you were on top of what you were scanning.
out,FALSE,FALSE,LANC: ⌊ Hm.
out,FALSE,FALSE,LANC: Thanks ⌋.
out,FALSE,FALSE,LANC: .
out,FALSE,FALSE,RAND: um.
out,FALSE,FALSE,LANC: should've kept that one Horizon Fauker jet.
out,FALSE,FALSE,LANC: just t- keep em on the right.
out,FALSE,FALSE,RAND: Why did you switch em.
in,TRUE,FALSE,LANC: Well ʔuh looking at something I would get
in,FALSE,TRUE,LANC: it didn't seem like I could get someone else out.
in,TRUE,FALSE,LANC: But um a:nd part of it to provide a good service but then.
out,FALSE,FALSE,RAND: Yeah.
out,FALSE,FALSE,RAND: ʔuh Well ʔuh that- that
in,FALSE,TRUE,RAND: I guess that's one reason the two eight's kind of
in,TRUE,FALSE,RAND: well two eight's kinda nice sometimes because ʔuh: ʔuh I mean when we're on ten all the departures seemed like they're going out the left.
out,FALSE,FALSE,LANC: .
in,FALSE,FALSE,RAND: so you really want your arrivals on the right.
in,FALSE,FALSE,RAND: When you're landing two eight then you can get departures off of almost both at any time.
out,FALSE,FALSE,LANC: .
in,FALSE,TRUE,RAND: So you always got a hole.
out,FALSE,FALSE,LANC: N_yeah.
out,FALSE,FALSE,LANC: Yeah.
in,TRUE,FALSE,RAND: So but uh don't feel bad about keeping Horizon on the right boy because.
out,FALSE,FALSE,LANC: Mhm.
in,FALSE,TRUE,RAND: sure doesn't hurt them to taxi any.
in,TRUE,FALSE,RAND: They're so used to having A number one service.
out,FALSE,FALSE,LANC: ⌊ Yeah.
out,FALSE,FALSE,LANC: plus ⌋ when they're ⌈ departing.
out,FALSE,FALSE,RAND: every one of em came
out,FALSE,FALSE,LANC: they're right by ⌉ the gate.
out,FALSE,FALSE,LANC: Everyone
out,FALSE,FALSE,LANC: even even one or
out,FALSE,FALSE,LANC: one or two of em I said I'll advise if the left becomes available.
out,FALSE,FALSE,LANC: ⌈ and they said w-.
out,FALSE,FALSE,RAND: ⌊ and they
out,FALSE,FALSE,RAND: they still ask ⌋.
out,FALSE,FALSE,LANC: we'd like the ⌉ left if it becomes available.
out,FALSE,FALSE,RAND: I know they still ask.
out,FALSE,FALSE,LANC: .
out,FALSE,FALSE,RAND: And Viking is the same way.
out,FALSE,FALSE,RAND: .
out,FALSE,FALSE,LANC: Yeah.
out,FALSE,FALSE,RAND: So.
out,FALSE,FALSE,RAND: There's: sh:
out,FALSE,FALSE,RAND: there's sure nothing wrong with keeping em on the right though.
out,FALSE,FALSE,RAND: Um Traffic Watch Eight we discussed.
out,FALSE,FALSE,LANC: So radar service terminated.
out,FALSE,FALSE,RAND: um call me inbound or.
out,FALSE,FALSE,RAND: You wanna say radar service terminated frequency change approved.
out,FALSE,FALSE,RAND: Report back inbound.
out,FALSE,FALSE,RAND: Or I I think that something a littleʔ little more like that's better than just saying radar service terminated because he's kinda
out,FALSE,FALSE,LANC: .
out,FALSE,FALSE,RAND: Left hanging.
out,FALSE,FALSE,LANC: Okay.
in,FALSE,TRUE,RAND: And you could just say radar service terminated report back inbound and then he'll
in,TRUE,FALSE,RAND: he'll either come back and say well I'm departing the area now back to Hillsborrow Or I'll call you back inbound.
in,FALSE,FALSE,RAND: So that gives you an idea.
out,FALSE,FALSE,LANC: Okay.
out,FALSE,FALSE,RAND: But uh a:nd uh ʔuh: Along with that Let TC do more of the work for you.
out,FALSE,FALSE,LANC: Okay % laugh.
out,FALSE,FALSE,RAND: ʔyou know Um just tell her what you want her to do.
out,FALSE,FALSE,LANC: .
out,FALSE,FALSE,RAND: I was thinking of a couple instances where you could've used her more than you did.
out,FALSE,FALSE,LANC: Okay.
out,FALSE,FALSE,LANC: I was thinking that for my rundowns you know that would ʔuh that's
out,FALSE,FALSE,LANC: that would have been a help but on the other s- the other hand.
out,FALSE,FALSE,BILL: I wanna get it on tape heck of a job Lance.
out,FALSE,FALSE,RAND: ⌈.
out,FALSE,FALSE,LANC: ⌊ Oh thank you very much.
out,FALSE,FALSE,LANC: Did you hear that?
out,FALSE,FALSE,LANC: um ⌋.
out,FALSE,FALSE,RAND: The problem with doing rundowns is that ⌉ it's kind of over in your face.
out,FALSE,FALSE,LANC: Yeah Yeah.
out,FALSE,FALSE,LANC: So.
out,FALSE,FALSE,RAND: Cause the light's kind of pretty far over to the left there but sh- you can you can have her do it if you want.
out,FALSE,FALSE,LANC: Um I would
out,FALSE,FALSE,LANC: I'm just working at doing as much of these other things as I possibly can Because they'll be times when I won't have a TC and just
out,FALSE,FALSE,LANC: just ⌈ challenging myself.
out,FALSE,FALSE,RAND: ⌊ And that's okay.
out,FALSE,FALSE,RAND: ⌋.
out,FALSE,FALSE,LANC: ⌉ Um what were some of the things other than
out,FALSE,FALSE,LANC: what- what were some of the things that that I should have used ⌈ her for that I didn't.
out,FALSE,FALSE,RAND: Depending on who your
out,FALSE,FALSE,LANC: ⌉.
in,FALSE,TRUE,RAND: Who your TC is if c- certain people sit down there they d
in,TRUE,FALSE,RAND: they have a tendency to do everything for you.
in,FALSE,TRUE,RAND: And sometimes that is p
in,TRUE,FALSE,RAND: that is really pretty nice.
in,FALSE,TRUE,RAND: If you just if you just all you have to do is stand up and look out the window and look at the bright.
in,TRUE,FALSE,RAND: and talk.
in,FALSE,TRUE,RAND: ʔuh: You- no other w
in,TRUE,FALSE,RAND: no other coordination or or ARTS functions or anything That really is nice.
out,FALSE,FALSE,LANC: That's ideal.
in,FALSE,FALSE,RAND: It it really helps.
out,FALSE,FALSE,LANC: Mhm.
in,FALSE,TRUE,RAND: the situation.
out,FALSE,FALSE,LANC: Mhm.
in,TRUE,FALSE,RAND: So but ʔuh: Right now like you say maybe it is better for you to do some of that stuff.
