in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,INV: we have nice paper here .
out,FALSE,FALSE,@Comment: Dear SAnta PLeaSe SenD me some ToyS Michael CM
out,FALSE,FALSE,"@Comment: this is one of few letters where Mot does part of the writing. the letter is all written on the left side of the paper except for Chi's name and initials. The whole letter is Mot's idea and she dictates most of the spelling to him as well. Chi's younger brother is extremely distracting in the background. Chi is very into markers and uses a white marker to change some of the colors. Chi is more interested in the colors and lines (underlining the words) than the letter itself; however , at the end he writes part of his last name enthusiastically and on his own; according to the context notes , first Chi draws lines on the paper , then Mot begins writing the text <dear Santa> , then she dictates the rest of the text to him , then he underlines everything; he is not asked to read the letter back"
out,FALSE,FALSE,@Comment: Time is 3:33
out,FALSE,FALSE,INV: good for writing .
out,FALSE,FALSE,INV: it has even got some letters up here .
out,FALSE,FALSE,INV: thinking about letters .
out,FALSE,FALSE,INV: you think if (.) you and your mom could write a letter .
out,FALSE,FALSE,INV: if you wanna write a letter to anyone that you want .
out,FALSE,FALSE,INV: and maybe your mom could help you .
in,TRUE,FALSE,MOT: you could write the letter to Santa Claus .
out,FALSE,FALSE,MOT: yeah .
out,FALSE,FALSE,MOT: xxx xxx [>] .
out,FALSE,FALSE,INV: <and you could> [<] write with (.) you wanna write with a marker or you wanna write with a pen ?
out,FALSE,FALSE,INV: or a pencil .
in,FALSE,FALSE,CHI: I wanna write with a marker .
out,FALSE,FALSE,INV: you wanna write with a magic marker ?
out,FALSE,FALSE,INV: okay you know what I'm going to do if your going to write with a magic +/.
out,FALSE,FALSE,CHI: those magic markers .
out,FALSE,FALSE,INV: oh one of these ?
in,FALSE,FALSE,CHI: (.) yeah I wanna use xxx .
out,FALSE,FALSE,INV: okay .
out,FALSE,FALSE,CHI: write to &-um +...
out,FALSE,FALSE,MOT: (..) www .
out,FALSE,FALSE,MOT: rip it out ?
out,FALSE,FALSE,INV: here why don't I rip it out .
out,FALSE,FALSE,INV: you're right .
out,FALSE,FALSE,INV: that's a great idea .
