in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,CHI: The +...
out,FALSE,FALSE,@Comment: Time is 0:04
out,FALSE,FALSE,"@Comment: a rather painful book reading that is over 22 minutes long; Chi is not a good reader; he often sounds out every letter; Mot uses a variety of strategies to help , including saying to sound it out , asking what sound the individual letters make , and giving the word when nothing else works; Chi seems willing to guess based on a few letters (for example Christa is read as caterpillar); Mot says at one point that Chi probably doesn't remember what was said (because of the strain of reading the words); Chi pretty much gives up when reading the second Sunday when the caterpillar eats a leaf; finally Mot reads the last few pages herself , pointing at each word; Chi comes up with words like satellite and zucchini and saddle while grasping for words"
out,FALSE,FALSE,SIS1: xxx .
out,FALSE,FALSE,MOT: don't xxx .
out,FALSE,FALSE,SIS1: look_it .
out,FALSE,FALSE,CHI: busy [?] ?
out,FALSE,FALSE,SIS2: Mom ?
out,FALSE,FALSE,MOT: <sound it> [>] out +...
out,FALSE,FALSE,CHI: fuzzy [<] [/] fuzzy ?
out,FALSE,FALSE,MOT: no [>] .
in,TRUE,FALSE,SIS2: <do you> [<] have a pencil ?
out,FALSE,FALSE,MOT: what is that ?
out,FALSE,FALSE,CHI: &~vv [>] .
out,FALSE,FALSE,INV1: xxx [<] .
out,FALSE,FALSE,SIS2: xxx .
out,FALSE,FALSE,MOT: if you say <it one more time [?] xxx> [>] .
out,FALSE,FALSE,INV1: xxx [<] [>] .
out,FALSE,FALSE,SIS2: xxx [<] .
out,FALSE,FALSE,CHI: huh ?
out,FALSE,FALSE,CHI: okay .
out,FALSE,FALSE,SIS2: Mom ?
out,FALSE,FALSE,CHI: (.) a@l (.) &-um +...
in,FALSE,TRUE,MOT: no that's a y@l .
out,FALSE,FALSE,SIS1: &=laughs .
out,FALSE,FALSE,MOT: yyy .
out,FALSE,FALSE,CHI: yyy ?
out,FALSE,FALSE,SIS1: &=laughs .
out,FALSE,FALSE,MOT: very &=laughs !
out,FALSE,FALSE,CHI: very &=laughs .
out,FALSE,FALSE,CHI: very [//] The (.) Very Hungry (.) Caterpillar .
out,FALSE,FALSE,MOT: mhm .
out,FALSE,FALSE,CHI: whoops .
out,FALSE,FALSE,INV2: oops .
out,FALSE,FALSE,MOT: okay .
out,FALSE,FALSE,CHI: The Very Hungry &~Cater [//] Caterpillar .
