in/out/ambiguous,start,end,Transcript
out,FALSE,FALSE,MOT: you wanna see Bro ?
out,FALSE,FALSE,MOT: &=noise:tape hafta do it .
out,FALSE,FALSE,MOT: &=singing .
out,FALSE,FALSE,MOT: Bro it is not time to (.) use the phone xxx .
out,FALSE,FALSE,CHI: I don't want this [>] .
out,FALSE,FALSE,MOT: xxx [<] .
out,FALSE,FALSE,MOT: time to eat .
out,FALSE,FALSE,MOT: xxx .
out,FALSE,FALSE,CHI: I don't want that kind .
out,FALSE,FALSE,MOT: xxx Bro ?
out,FALSE,FALSE,CHI: what_about me ?
out,FALSE,FALSE,MOT: well Bro xxx how_about you Chi ?
out,FALSE,FALSE,BRO: xxx .
in,TRUE,FALSE,MOT: I said (.) let's pray to the lord that we can make it this summer right ?
in,FALSE,FALSE,BRO: xxx the summer .
out,FALSE,FALSE,CHI: oh &=whine .
in,FALSE,TRUE,MOT: okay Grandma (.) and Grandpa they get to go to the &=noise:tape .
out,FALSE,FALSE,CHI: I'm xxx .
out,FALSE,FALSE,BRO: what did you say ?
out,FALSE,FALSE,MOT: it says here [///] oh .
out,FALSE,FALSE,MOT: my little boy's name &-uh ?
out,FALSE,FALSE,CHI: he's not little he's big .
out,FALSE,FALSE,MOT: no he's not that big .
out,FALSE,FALSE,MOT: xxx for his age .
out,FALSE,FALSE,MOT: &=noise:tape <this game with me> [>] ?
out,FALSE,FALSE,CHI: <0 [=! small grunting noises]> [<] .
out,FALSE,FALSE,BRO: &=noise:tapeyou gotta kick back xxx school .
out,FALSE,FALSE,MOT: who said that ?
out,FALSE,FALSE,BRO: xxx [>] .
out,FALSE,FALSE,MOT: <maybe he didn't do homework> [<] huh ?
out,FALSE,FALSE,BRO: Carl .
out,FALSE,FALSE,MOT: Carl xxx ?
out,FALSE,FALSE,BRO: xxx pork .
out,FALSE,FALSE,MOT: &=noise:tape .
out,FALSE,FALSE,MOT: why not ?
out,FALSE,FALSE,CHI: xxx .
out,FALSE,FALSE,BRO: who ?
out,FALSE,FALSE,MOT: let me see .
out,FALSE,FALSE,CHI: right here .
out,FALSE,FALSE,BRO: what is xxx doing ?
out,FALSE,FALSE,MOT: she doesn't know any better .
out,FALSE,FALSE,BRO: &=noise:tapexxx ?
out,FALSE,FALSE,MOT: hm: ?
out,FALSE,FALSE,BRO: she no xxx .
out,FALSE,FALSE,MOT: maybe they don't .
out,FALSE,FALSE,BRO: <xxx little girl> [>] .
out,FALSE,FALSE,MOT: <she's just a> [<] baby she's only three years old .
out,FALSE,FALSE,MOT: what does she know ?
out,FALSE,FALSE,MOT: not much huh ?
out,FALSE,FALSE,CHI: I told you that the xxx guy couldn't xxx your back .
out,FALSE,FALSE,MOT: xxx could or you could have come and tell me .
out,FALSE,FALSE,MOT: sit .
out,FALSE,FALSE,MOT: don't do that .
out,FALSE,FALSE,MOT: I don't like you doing that .
out,FALSE,FALSE,CHI: I don't xxx .
out,FALSE,FALSE,BRO: <here we come on the merry-go-round> [/] <here we come on the merry-go-round> [/] here we come on the merry-go-round .
out,FALSE,FALSE,CHI: she's a bad bad bad girl .
out,FALSE,FALSE,CHI: this is mine .
out,FALSE,FALSE,BRO: xxx .
out,FALSE,FALSE,MOT: what ?
out,FALSE,FALSE,BRO: <&=laughs> [>] .
out,FALSE,FALSE,MOT: <what that is> [<] ?
out,FALSE,FALSE,MOT: xxx <Bro> [>] ?
out,FALSE,FALSE,CHI: why [<] did the chicken [>] get to the xxx (.) why did the chicken xxx .
out,FALSE,FALSE,BRO: <xxx (.) junk> [<] .
out,FALSE,FALSE,CHI: wanted to go the &=noise:tape .
out,FALSE,FALSE,BRO: xxx .
out,FALSE,FALSE,CHI: unhunh .
out,FALSE,FALSE,BRO: what ?
out,FALSE,FALSE,CHI: (.) &-uh &=noise:tape xxx .
out,FALSE,FALSE,BRO: xxx .
out,FALSE,FALSE,BRO: no .
out,FALSE,FALSE,CHI: no !
in,TRUE,FALSE,MOT: yesterday was a nice day yeah ?
in,FALSE,TRUE,MOT: you guys had a_lot_of fun xxx .
in,TRUE,FALSE,CHI: I didn't .
in,FALSE,FALSE,MOT: you didn't ?
in,FALSE,TRUE,MOT: didn't you go to Amber's house ?
in,TRUE,FALSE,CHI: xxx I don't like that little girl xxx .
out,FALSE,FALSE,CHI: &=laughs .
in,FALSE,TRUE,MOT: (o)kay the next time she comes when she starts (.) scratching you hafta tell her okay ?
in,TRUE,FALSE,MOT: next time you tell her .
in,FALSE,TRUE,CHI: no [>] .
in,TRUE,FALSE,MOT: <tell her> [<] stop doing that .
out,FALSE,FALSE,MOT: I don't like that <that's not nice> [>] .
out,FALSE,FALSE,CHI: <no I want you to> [<] stay with me &=whining .
in,FALSE,TRUE,BRO: <and they &~w> [/] <and they &~w> [/] &-um they were making fun of us .
in,TRUE,FALSE,BRO: xxx another girl she had a stick and she tickled my feet and I didn't want her to do that and <and she hurt> [//] and she made me hurt my feet and Chi was just talking to her xxx and Chi <was playing with her> [>] .
in,FALSE,FALSE,CHI: <no [!]> [<] I didn't did that .
out,FALSE,FALSE,CHI: I was xxx .
in,FALSE,TRUE,MOT: she's only three years old do you know that Bro ?
out,FALSE,FALSE,MOT: she's <very xxx> [>] .
out,FALSE,FALSE,BRO: yeah [<] .
in,TRUE,FALSE,CHI: <I told you she's little> [>] .
out,FALSE,FALSE,MOT: xxx [<] .
out,FALSE,FALSE,MOT: yeah .
out,FALSE,FALSE,MOT: very [!] little .
out,FALSE,FALSE,MOT: (.) leave it like that we don't want any phone calls right now Bro .
out,FALSE,FALSE,BRO: xxx .
out,FALSE,FALSE,MOT: thank you .
out,FALSE,FALSE,BRO: I do .
out,FALSE,FALSE,MOT: not right now it's time to eat .
out,FALSE,FALSE,CHI: mommy xxx [>] ?
out,FALSE,FALSE,MOT: <breakfast time> [<] .
out,FALSE,FALSE,CHI: xxx [>] .
out,FALSE,FALSE,BRO: xxx [<] xxx .
out,FALSE,FALSE,MOT: I don't know what that is for .
out,FALSE,FALSE,BRO: &=noise:tapexxx .
out,FALSE,FALSE,CHI: I want pancakes .
out,FALSE,FALSE,CHI: <I'm hungry> [>] .
out,FALSE,FALSE,MOT: <put that back Bro (.) where I had it> [<] .
out,FALSE,FALSE,BRO: xxx [>] .
in,FALSE,TRUE,CHI: <I haven't> [<] eating for a month yesterday .
in,TRUE,FALSE,MOT: for a month ?
in,FALSE,TRUE,CHI: yes don't you remember you didn't let me eat (.) &-uh &-uh +...
in,TRUE,FALSE,MOT: (.) &=noise:tapeyou didn't wanna eat (.) I cooked remember ?
in,FALSE,FALSE,CHI: but I didn't like that food .
out,FALSE,FALSE,MOT: you know what happened ?
in,FALSE,TRUE,MOT: you were excited about this girl xxx [>] .
in,TRUE,FALSE,BRO: <mama you xxx> [<] call <Jeffrey's mother> [>] .
in,FALSE,TRUE,CHI: <no I didn't> [<] .
in,TRUE,FALSE,MOT: yes I did .
out,FALSE,FALSE,CHI: I want pancakes .
out,FALSE,FALSE,CHI: I'm starving [>] !
out,FALSE,FALSE,MOT: okay [<] <wait a minute> [//] <wait a second let me> [>] finish this and then xxx .
out,FALSE,FALSE,BRO: xxx [<] .
out,FALSE,FALSE,MOT: you're not ready xxx Chi .
out,FALSE,FALSE,MOT: xxx .
out,FALSE,FALSE,CHI: yes I am .
out,FALSE,FALSE,MOT: Bro listen to me at least for a while I tell you last time put that over there [>] .
out,FALSE,FALSE,BRO: <I'm trying> [<] to call my friend .
out,FALSE,FALSE,MOT: &=noise:tapexxx there Bro .
out,FALSE,FALSE,CHI: I don't want it .
out,FALSE,FALSE,MOT: everyone's eating right now .
out,FALSE,FALSE,MOT: oh I wish you'd behave .
out,FALSE,FALSE,CHI: &=noise:tapeI wish you was a little kid .
out,FALSE,FALSE,BRO: me ?
out,FALSE,FALSE,CHI: I wish mommy was [>] .
out,FALSE,FALSE,MOT: <you like> [<] some more cereal Bro ?
out,FALSE,FALSE,BRO: no don't want that .
out,FALSE,FALSE,BRO: xxx .
out,FALSE,FALSE,CHI: xxx oh !
out,FALSE,FALSE,MOT: hey guys .
out,FALSE,FALSE,CHI: what ?
out,FALSE,FALSE,BRO: don't want a orange [>] .
out,FALSE,FALSE,MOT: <we gotta really> [<] pray Jesus that we can go to California and visit <Grandpa> [>] and Grandma right ?
out,FALSE,FALSE,CHI: no [<] .
out,FALSE,FALSE,CHI: no I wanna stay with my friends .
out,FALSE,FALSE,MOT: oh .
out,FALSE,FALSE,MOT: in the summer you mean ?
out,FALSE,FALSE,CHI: yes for my birthday .
out,FALSE,FALSE,BRO: they don't got no swimming pool .
out,FALSE,FALSE,CHI: mm .
out,FALSE,FALSE,BRO: &=noise:tapexxx .
out,FALSE,FALSE,CHI: mommy [>] .
out,FALSE,FALSE,MOT: xxx [<] .
out,FALSE,FALSE,CHI: mommy [>] .
out,FALSE,FALSE,MOT: <what Bro> [<] ?
out,FALSE,FALSE,CHI: <is he coming today> [>] ?
out,FALSE,FALSE,MOT: <give it to me> [<] .
out,FALSE,FALSE,MOT: no he is not coming today .
